id,matrix_row,matrix_column,year,citation,title,authors_source,study_design,population,product_platform,outcome_domain,key_finding,evidence_signal,actionability,source_url,tags,evidence_update_date,evidence_update_precision,evidence_update_basis,map_record_updated,provenance,pmid,doi,article_types,mesh_terms,species,quality_status,quality_flags,quality_control_version
AUTO-PUBMED-42132475,Immune correlates & antigen design,Translational / preclinical,2026,"Luan et al., Journal of medical virology 2026; PubMed auto-added",Evaluate of the protective effect of an RSV Pre-F/Alum +CpG subunit vaccine in Balb/C mice with and without RSV prexposure.,Luan et al.,Animal study. PubMed article type(s): Journal Article,Not population-specific / immunologic evidence,RSV F antigen / immune correlate,Efficacy/effectiveness; clinical RSV outcomes; Immunogenicity / correlates,"Automated PubMed record. Abstract/summary captured: Respiratory syncytial virus (RSV) poses a substantial global health threat. Most individuals have been infected with RSV at least once prior to vaccination, resulting in the presence of pre-existing antibodies. In this study, Balb/C mice were either pre‑exposed or non-pre-exposed to RSV on day 0, followed by a two-dose regimen of an RSV subunit vaccine on days 28 and 56. Two prefusion RSV F proteins (Pre-F-1 and Pre-F-2) were designed as vaccine antigens, formulated with Alum + CpG adjuvant to p…",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42132475/,auto-added; PubMed; PMID 42132475; Immune correlates & antigen design; Translational / preclinical; DOI 10.1002/jmv.70971; QC 2026-06-qc1,2026-05-01,month,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42132475,10.1002/jmv.70971,Journal Article,"Animals; Mice, Inbred BALB C; Respiratory Syncytial Virus Infections; Respiratory Syncytial Virus Vaccines; Antibodies, Viral; Female; Alum Compounds; Vaccines, Subunit; Adjuvants, Immunologic; Lung; Antibodies, Neutralizing; Mice; Protein Subunit Vaccines; Immunoglobulin G; Viral Load; Viral Fusion Proteins; Oligodeoxyribonucleotides; Disease Models, Animal; Pre-Exposure Prophylaxis; Vaccine Efficacy",Animal,RSV MeSH and PubMed article-type validated,,2026-06-qc1
AUTO-PUBMED-42131892,Adult active vaccination,Observational / real-world,2026,"Martino et al., Influenza and other respiratory viruses 2026; PubMed auto-added",Incidence of Respiratory Syncytial Virus Infection Among Patients Aged Less Than 2 Years: A Retrospective Study From an Italian Southern Region in Years 2018-2023.,Martino et al.,Observational Study. PubMed article type(s): Journal Article; Observational Study,Adults / older adults,Adult RSV vaccine,Efficacy/effectiveness; clinical RSV outcomes,"Automated PubMed record. Abstract/summary captured: INTRODUCTION: Respiratory syncytial virus (RSV) is one of the most common viruses infecting nearly all children worldwide within the first 2 years of life, requiring hospitalization for over 80% of cases in infants under the age of 1. The aim of this study was to evaluate the epidemiological impact of RSV infections on hospital admissions among patients aged less than 2 years in the Abruzzo region, Italy. In addition, the analysis on patients aged less than 1 year and the evaluation of direct co…",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42131892/,"auto-added; PubMed; PMID 42131892; Policy, implementation & real-world evidence; Observational / real-world; DOI 10.1111/irv.70224; QC 2026-06-qc1",2026-05-01,month,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42131892,10.1111/irv.70224,Journal Article; Observational Study,"Humans; Respiratory Syncytial Virus Infections; Italy; Retrospective Studies; Infant; Hospitalization; Incidence; Male; Female; Seasons; Infant, Newborn; Respiratory Syncytial Virus, Human",Human,RSV MeSH and PubMed article-type validated,,2026-06-qc1
AUTO-PUBMED-42116720,Infant passive immunization,Observational / real-world,2026,"Evans et al., Influenza and other respiratory viruses 2026; PubMed auto-added","Expanded Genomic Surveillance and Seasonal Comparisons of Human Respiratory Syncytial Virus Infections in Minnesota, USA, 2023-2025.",Evans et al.,Comparative Study. PubMed article type(s): Journal Article; Comparative Study,Infants / young children,Long-acting monoclonal antibody,Efficacy/effectiveness; clinical RSV outcomes; Immunogenicity / correlates,"Automated PubMed record. Abstract/summary captured: BACKGROUND: Human respiratory syncytial virus (HRSV) imposes a substantial burden in the United States. The use of whole-genome sequencing (WGS) for public health surveillance of HRSV lags that for other viral pathogens. The objective of this study was to expand the scope and depth of WGS-based surveillance of HRSV in Minnesota, USA. METHODS: HRSV-positive specimens collected from outpatients and inpatients from July 2023 to April 2025 were submitted to the Minnesota Public Health Laboratory for…",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42116720/,auto-added; PubMed; PMID 42116720; Infant passive immunization; Observational / real-world; DOI 10.1111/irv.70257; QC 2026-06-qc1,2026-05-01,month,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42116720,10.1111/irv.70257,Journal Article; Comparative Study,"Respiratory Syncytial Virus Infections; Respiratory Syncytial Virus, Human; Epidemiological Monitoring; Minnesota; Whole Genome Sequencing; Genome, Viral; Public Health; Hospitalization; Mutation; Antibodies, Monoclonal; Drug Resistance, Viral; Seasons; Genetic Variation; Viral Fusion Proteins; Humans; Male; Female; Infant; Child, Preschool; Child; Adolescent; Young Adult; Adult; Middle Aged; Aged; Antiviral Agents",Human,RSV MeSH and PubMed article-type validated,,2026-06-qc1
AUTO-PUBMED-42116543,Adult active vaccination,Observational / real-world,2026,"Rachida et al., Emerging infectious diseases 2026; PubMed auto-added","Human Respiratory Syncytial Virus in Vaccinated and Unvaccinated Adults, Georgia, USA, 2024-2025.",Rachida et al.,Human journal article; specific design not indexed as a PubMed publication type. PubMed article type(s): Journal Article,Adults / older adults,Adult RSV vaccine,Implementation / uptake,"Automated PubMed record. Abstract/summary captured: We analyzed respiratory syncytial virus genome sequences from adults in Georgia, USA, during 2024-2025. We found multiple co-circulating lineages of both A and B subtypes. We identified few mutations in F protein antigenic sites in this population with low vaccine uptake, highlighting the need for ongoing genomic surveillance.",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42116543/,auto-added; PubMed; PMID 42116543; Adult active vaccination; Observational / real-world; DOI 10.3201/eid3205.251997; QC 2026-06-qc1,2026-05-01,month,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42116543,10.3201/eid3205.251997,Journal Article,"Humans; Respiratory Syncytial Virus Infections; Georgia; Unvaccinated Persons; Respiratory Syncytial Virus, Human; Phylogeny; Adult; Genome, Viral; Vaccination; Genetic Variation; Respiratory Syncytial Virus Vaccines",Human,RSV MeSH and PubMed article-type validated,generic_pubmed_article_type,2026-06-qc1
AUTO-PUBMED-42198733,Maternal active vaccination,Observational / real-world,2026,"El-Amin et al., Viruses 2026; PubMed auto-added","Respiratory Syncytial Virus-Associated Severe Acute Respiratory Infections in Hospitalized Patients at a University Hospital Center in Rabat, Morocco: An Epidemiological Overview.",El-Amin et al.,Human journal article; specific design not indexed as a PubMed publication type. PubMed article type(s): Journal Article,Pregnant people / infants,Maternal RSV vaccine,Implementation / uptake,"Automated PubMed record. Abstract/summary captured: UNLABELLED: Respiratory syncytial virus (RSV) imposes a substantial burden of severe acute respiratory infection (SARI), especially in young children and the elderly. METHODS: We describe RSV epidemiology among hospitalized SARI patients at the Ibn Sina University Hospital Center (Rabat, Morocco) from 1 January 2021, to 31 December 2025, using multiplex PCR (BioFire® RP2.1plus or Xpert® SARS-CoV-2/Flu/RSV). RESULTS: Among 4604SARI samples, RSV prevalence was 16.1% (739/4604), predominantly pedia…",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42198733/,auto-added; PubMed; PMID 42198733; Infant passive immunization; Observational / real-world; DOI 10.3390/v18050530; QC 2026-06-qc1,2026-04-30,day,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42198733,10.3390/v18050530,Journal Article,"Humans; Morocco; Respiratory Syncytial Virus Infections; Child, Preschool; Female; Infant; Hospitals, University; Aged; Male; Child; Middle Aged; Adult; Respiratory Tract Infections; Adolescent; Prevalence; Coinfection; Respiratory Syncytial Virus, Human; Young Adult; Hospitalization; SARS-CoV-2; Seasons; Aged, 80 and over",Human,RSV MeSH and PubMed article-type validated,generic_pubmed_article_type,2026-06-qc1
AUTO-PUBMED-42204809,Maternal active vaccination,Observational / real-world,2026,"Ağralı-Eröz et al., Journal of tropical pediatrics 2026; PubMed auto-added","Turkish pregnant women's opinions, beliefs, and attitudes about maternal tetanus, diphtheria, and pertussis, influenza, coronavirus disease 2019, and respiratory syncytial virus vaccines.",Ağralı-Eröz et al.,Human journal article; specific design not indexed as a PubMed publication type. PubMed article type(s): Journal Article,Pregnant people / infants,Maternal RSV vaccine,Efficacy/effectiveness; clinical RSV outcomes; Implementation / uptake,"Automated PubMed record. Abstract/summary captured: Maternal vaccines, including coronavirus disease 2019 (COVID-19), influenza, tetanus, diphtheria, acellular pertussis (Tdap), and respiratory syncytial virus, have demonstrated strong effectiveness in protecting both mothers and their infants. This study aimed to evaluate pregnant women's attitudes toward maternal vaccination in Türkiye. We conducted a cross-sectional survey among women in their third trimester of pregnancy. Maternal immunization behavior was the primary outcome measure. Attitud…",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42204809/,auto-added; PubMed; PMID 42204809; Maternal active vaccination; Observational / real-world; DOI 10.1093/tropej/fmag032; QC 2026-06-qc1,2026-04-11,day,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42204809,10.1093/tropej/fmag032,Journal Article,"Humans; Female; Pregnancy; Cross-Sectional Studies; Adult; Health Knowledge, Attitudes, Practice; Turkey; Surveys and Questionnaires; Vaccination; Influenza Vaccines; Young Adult; Pregnant People; COVID-19; Respiratory Syncytial Virus Vaccines; Patient Acceptance of Health Care; Pregnancy Complications, Infectious; Pregnancy Trimester, Third; Influenza, Human; Socioeconomic Factors; Diphtheria-Tetanus-acellular Pertussis Vaccines",Human,RSV MeSH and PubMed article-type validated,generic_pubmed_article_type,2026-06-qc1
AUTO-PUBMED-42246298,Adult active vaccination,Observational / real-world,2026,PubMed 42246298; auto-added,Severity and Cost of Respiratory Syncytial Virus Versus Influenza in Hospitalized Adults in Spain.,Elisa Correcher-Martínez; Cintia Muñoz-Quiles; Mónica López-Lacort; Ainara Mira-Iglesias; María Díaz-López; Beatriz Mengual-Chuliá,Comparative Study. PubMed article type(s): Journal Article; Comparative Study,Adults / older adults,Adult RSV vaccine,"RSV prevention, immunization, protection, safety, policy, or implementation signal","Respiratory syncytial virus (RSV) can lead to severe outcomes, particularly in older and vulnerable adults, yet it remains underdiagnosed due to limited testing. This study compared the severity and costs of laboratory-confirmed RSV versus influenza hospitalizations. We performed a retrospective analysis using data from the Valencia Hospital Network for the Study of Infectious Diseases (VAHNSI), covering up to 46% of the Valencia Region's population. Hospitalized influenza-like illness (ILI) cases in individuals aged ≥ 65 years across six seasons (2014/15-2019/20) were included. RSV and influe …",Automated PubMed inclusion; not manually verified.,"Rule-classified automated evidence signal. Inspect the source record before clinical, policy, or research decisions.",https://pubmed.ncbi.nlm.nih.gov/42246298/,auto-added; PubMed; PMID 42246298; DOI 10.1111/irv.70254; QC 2026-06-qc1,2026-04-01,day,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42246298,10.1111/irv.70254,Journal Article; Comparative Study,"Humans; Respiratory Syncytial Virus Infections; Spain; Female; Retrospective Studies; Aged; Hospitalization; Influenza, Human; Male; Aged, 80 and over; Severity of Illness Index; Length of Stay; Respiratory Syncytial Virus, Human",Human,RSV MeSH and PubMed article-type validated,,2026-06-qc1
AUTO-PUBMED-42166454,Adult active vaccination,Observational / real-world,2026,"Arinaitwe et al., PloS one 2026; PubMed auto-added","The epidemiology of SARS-CoV-2, Influenza, and Respiratory Syncytial Virus circulation among adult patients with acute respiratory illness in Kampala Metropolitan Area in Uganda.",Arinaitwe et al.,Human journal article; specific design not indexed as a PubMed publication type. PubMed article type(s): Journal Article,Adults / older adults,Adult RSV vaccine,Outcome not auto-specified,"Automated PubMed record. Abstract/summary captured: BACKGROUND: Acute respiratory infections (ARI) caused by viruses such as SARS-CoV-2, influenza, and respiratory syncytial virus (RSV) posed significant public health challenges, particularly in low-income countries. Understanding the co-circulation dynamics of these pathogens is crucial for effective public health monitoring, surveillance, and control interventions. This study aimed to characterize the epidemiology of SARS-CoV-2, influenza, and RSV co-circulation among patients with ARI in Ugand…",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42166454/,auto-added; PubMed; PMID 42166454; Adult active vaccination; Observational / real-world; DOI 10.1371/journal.pone.0344869; QC 2026-06-qc1,2026-01-01,day,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42166454,10.1371/journal.pone.0344869,Journal Article,"Humans; Uganda; Male; Female; Adult; Respiratory Syncytial Virus Infections; Middle Aged; COVID-19; Retrospective Studies; SARS-CoV-2; Influenza, Human; Adolescent; Young Adult; Aged; Seasons; Respiratory Syncytial Virus, Human; Prevalence",Human,RSV MeSH and PubMed article-type validated,generic_pubmed_article_type,2026-06-qc1
AUTO-PUBMED-42170609,Adult active vaccination,Observational / real-world,2026,"Moumbeket-Yifomnjou et al., International journal of public health 2026; PubMed auto-added","Comparative analysis of ARIMA and Holt-Winter's additive models for describing human respiratory syncytial virus activity in Yaoundé, Cameroon.",Moumbeket-Yifomnjou et al.,Human journal article; specific design not indexed as a PubMed publication type. PubMed article type(s): Journal Article,Adults / older adults,Adult RSV vaccine,Outcome not auto-specified,"Automated PubMed record. Abstract/summary captured: OBJECTIVES: Human respiratory syncytial virus (HRSV) is a major cause of respiratory infections in children and older adults. This study compared the Autoregressive Integrative Moving Average (ARIMA) and Holt-Winter's Additive models to describe HRSV activity in Yaoundé, Cameroon. METHODS: In a three-year retrospective study (July 2020-December 2022), analyzed 1,774 nasopharyngeal samples from patients with severe acute respiratory infections (SARI) and influenza-like illness (ILI) were analysed…",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42170609/,auto-added; PubMed; PMID 42170609; Adult active vaccination; Observational / real-world; DOI 10.3389/ijph.2026.1608524; QC 2026-06-qc1,2026-01-01,day,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42170609,10.3389/ijph.2026.1608524,Journal Article,"Humans; Cameroon; Respiratory Syncytial Virus Infections; Retrospective Studies; Respiratory Syncytial Virus, Human; Female; Male; Infant; Child, Preschool; Child; Seasons; Models, Statistical; Respiratory Tract Infections",Human,RSV MeSH and PubMed article-type validated,generic_pubmed_article_type,2026-06-qc1
AUTO-PUBMED-42148106,Infant passive immunization,Evidence synthesis / guidance,2026,"Guo et al., Frontiers in immunology 2026; PubMed auto-added",Determinants of success and failure of antibody-based strategies against respiratory viruses: insights from RSV and SARS-CoV-2.,Guo et al.,Review. PubMed article type(s): Journal Article; Review,Infants / young children,Long-acting monoclonal antibody,Efficacy/effectiveness; clinical RSV outcomes; Immunogenicity / correlates,"Automated PubMed record. Abstract/summary captured: Respiratory syncytial virus (RSV) and severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) represent two extremes in the outcome of antibody-based interventions. The long-acting monoclonal antibody nirsevimab has achieved durable, population-level protection against RSV in infants, reducing hospitalizations by 70-90% with no evidence of antigenic escape. In contrast, all neutralizing monoclonal antibodies against SARS-CoV-2 became obsolete within three years due to rapid viral evolution,…",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42148106/,auto-added; PubMed; PMID 42148106; Infant passive immunization; Evidence synthesis / guidance; DOI 10.3389/fimmu.2026.1818721; QC 2026-06-qc1,2026-01-01,day,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42148106,10.3389/fimmu.2026.1818721,Journal Article; Review,"Humans; SARS-CoV-2; Respiratory Syncytial Virus Infections; COVID-19; Antibodies, Viral; Antibodies, Neutralizing; Respiratory Syncytial Virus, Human; Spike Glycoprotein, Coronavirus; Epitopes; Antibodies, Monoclonal; Animals",Human and animal,RSV MeSH and PubMed article-type validated,,2026-06-qc1
AUTO-PUBMED-42186412,"Policy, implementation & real-world evidence",Observational / real-world,2026,"Kawakami et al., Pediatrics international : official journal of the Japan Pediatric Society 2026; PubMed auto-added",Bronchiolitis Severity Scores for Predicting Mechanical Ventilation Needs in Children With Respiratory Syncytial Virus.,Kawakami et al.,Human journal article; specific design not indexed as a PubMed publication type. PubMed article type(s): Journal Article,Mixed / policy-relevant populations,RSV prevention product/platform not auto-specified,Outcome not auto-specified,Automated PubMed record. Abstract/summary captured: BACKGROUND: Respiratory syncytial virus (RSV) bronchiolitis is a common cause of respiratory failure requiring pediatric intensive care unit (PICU) admission in young children. Predicting the need for mechanical ventilation remains challenging. We evaluated the usefulness of bronchiolitis severity scores for predicting mechanical ventilation after PICU admission. METHODS: We conducted a single-center retrospective study of children with RSV bronchiolitis admitted to our PICU between April 2021 a…,Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42186412/,"auto-added; PubMed; PMID 42186412; Policy, implementation & real-world evidence; Observational / real-world; DOI 10.1111/ped.70429; QC 2026-06-qc1",2026-01-01,year,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42186412,10.1111/ped.70429,Journal Article,"Humans; Retrospective Studies; Respiration, Artificial; Infant; Respiratory Syncytial Virus Infections; Severity of Illness Index; Male; Female; Intensive Care Units, Pediatric; Bronchiolitis, Viral; Bronchiolitis; Child, Preschool; ROC Curve; Respiratory Insufficiency",Human,RSV MeSH and PubMed article-type validated,generic_pubmed_article_type,2026-06-qc1
AUTO-PUBMED-42138300,"Policy, implementation & real-world evidence",Observational / real-world,2026,"Mao et al., Water environment research : a research publication of the Water Environment Federation 2026; PubMed auto-added","Near-Source Wastewater Surveillance of SARS-CoV-2, Influenza A, and Respiratory Syncytial Virus With Spatiotemporal Evaluation of Pepper Mild Mottle Virus as a Fecal Indicator.",Mao et al.,Human journal article; specific design not indexed as a PubMed publication type. PubMed article type(s): Journal Article,Mixed / policy-relevant populations,RSV prevention product/platform not auto-specified,Efficacy/effectiveness; clinical RSV outcomes; Implementation / uptake,"Automated PubMed record. Abstract/summary captured: Wastewater-based epidemiology (WBE) is increasingly transitioning from treatment plant scale monitoring toward community-scale surveillance to provide higher spatial resolution. However, the influence of monitoring scale on signal stability and normalization performance remains insufficiently characterized. This study evaluated the dynamics of SARS-CoV-2, influenza A (IAV), and Respiratory Syncytial Virus (RSV) at five near-source pumping stations between October 2022 and September 2024. The mon…",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42138300/,"auto-added; PubMed; PMID 42138300; Policy, implementation & real-world evidence; Observational / real-world; DOI 10.1002/wer.70414; QC 2026-06-qc1",2026-01-01,year,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42138300,10.1002/wer.70414,Journal Article,Wastewater; Tobamovirus; Influenza A virus; Feces; SARS-CoV-2; Respiratory Syncytial Viruses; Humans; Spatio-Temporal Analysis; Environmental Monitoring; COVID-19,Human,RSV MeSH and PubMed article-type validated,generic_pubmed_article_type,2026-06-qc1
AUTO-PUBMED-42213665,"Policy, implementation & real-world evidence",Observational / real-world,2026,"Yeo et al., PloS one 2026; PubMed auto-added",Evidence mapping of preference elicitation for non-pharmaceutical interventions targeting respiratory viral transmission: A scoping review protocol.,Yeo et al.,Human journal article; specific design not indexed as a PubMed publication type. PubMed article type(s): Journal Article,Mixed / policy-relevant populations,RSV prevention product/platform not auto-specified,Efficacy/effectiveness; clinical RSV outcomes; Implementation / uptake,"Automated PubMed record. Abstract/summary captured: INTRODUCTION: Non-pharmaceutical interventions (NPIs) such as mask use, physical distancing, business or school closure, and isolation have been central to controlling respiratory viral infections, including influenza, COVID-19, and respiratory syncytial virus (RSV). Understanding the preferences of the public and stakeholders for these interventions is critical to ensure their acceptability, uptake, and effectiveness. Discrete choice experiments (DCEs) provide a robust method to quantify how in…",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42213665/,auto-added; PubMed; PMID 42213665; Immune correlates & antigen design; Evidence synthesis / guidance; DOI 10.1371/journal.pone.0344828; QC 2026-06-qc1,2026-01-01,day,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42213665,10.1371/journal.pone.0344828,Journal Article,"Humans; Scoping Reviews as Topic; Respiratory Syncytial Virus Infections; COVID-19; Influenza, Human; SARS-CoV-2; Pandemics; Masks; Coronavirus Infections; Pneumonia, Viral",Human,RSV MeSH and PubMed article-type validated,generic_pubmed_article_type,2026-06-qc1
AUTO-PUBMED-42207763,"Policy, implementation & real-world evidence",Translational / preclinical,2026,"Fiore et al., PloS one 2026; PubMed auto-added",Lung ultrasonography to assess efficacy of intranasal and parenteral vaccinations for bovine respiratory disease (BRD) in dairy calves.,Fiore et al.,Animal study. PubMed article type(s): Journal Article,Mixed / policy-relevant populations,RSV prevention product/platform not auto-specified,Efficacy/effectiveness; clinical RSV outcomes,"Automated PubMed record. Abstract/summary captured: Vaccination is used to control bovine respiratory disease (BRD). The aim of this study was to evaluate BRD vaccine efficacy through the lung lesions area in dairy calves, also discriminating the lung health status at vaccine administration. One hundred forty-nine dairy calves were enrolled and divided according to vaccine protocol and initial lung condition: healthy (H-CTR; n = 17) and diseased (D-CTR; n = 24) control group; healthy (H-INT; n = 28) and diseased (D-INT; n = 18) intranasal group, …",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42207763/,"auto-added; PubMed; PMID 42207763; Policy, implementation & real-world evidence; Translational / preclinical; DOI 10.1371/journal.pone.0349953; QC 2026-06-qc1",2026-01-01,day,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42207763,10.1371/journal.pone.0349953,Journal Article,"Animals; Cattle; Administration, Intranasal; Lung; Ultrasonography; Vaccination; Female; Mannheimia haemolytica; Viral Vaccines; Respiratory Syncytial Virus, Bovine; Parainfluenza Virus 3, Bovine; Cattle Diseases; Respiratory Syncytial Virus Infections",Animal,RSV MeSH and PubMed article-type validated,,2026-06-qc1
AUTO-PUBMED-42221582,"Policy, implementation & real-world evidence",Human RCT / controlled trial,2026,"Dong et al., Frontiers in cellular and infection microbiology 2026; PubMed auto-added",Development and internal validation of a clinical prediction model for septic shock in pediatric respiratory syncytial virus bronchiolitis based on routine blood biomarkers and concomitant fungal infection.,Dong et al.,Clinical Trial. PubMed article type(s): Clinical Trial; Journal Article,Mixed / policy-relevant populations,RSV prevention product/platform not auto-specified,Implementation / uptake,"Automated PubMed record. Abstract/summary captured: BACKGROUND: Respiratory syncytial virus (RSV) bronchiolitis is a leading cause of pediatric intensive care unit (PICU) admissions worldwide, with septic shock representing a severe and potentially fatal complication. Early identification of high-risk patients remains challenging in clinical practice. This study aimed to develop and validate a reliable prediction model for septic shock in children admitted to PICU with RSV bronchiolitis using readily available clinical and laboratory parameters. …",Automated PubMed inclusion; not manually verified.,Auto-classified by rule-based workflow. Treat as unverified until checked; use source link for confirmation.,https://pubmed.ncbi.nlm.nih.gov/42221582/,"auto-added; PubMed; PMID 42221582; Policy, implementation & real-world evidence; Human RCT / controlled trial; DOI 10.3389/fcimb.2026.1743976; QC 2026-06-qc1",2026-01-01,day,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42221582,10.3389/fcimb.2026.1743976,Clinical Trial; Journal Article,"Child, Preschool; Female; Humans; Infant; Male; Biomarkers; Bronchiolitis; Bronchiolitis, Viral; Intensive Care Units, Pediatric; Logistic Models; Respiratory Syncytial Virus Infections; Retrospective Studies; ROC Curve; Shock, Septic",Human,RSV MeSH and PubMed article-type validated,,2026-06-qc1
AUTO-PUBMED-42256220,"Policy, implementation & real-world evidence",Observational / real-world,2026,PubMed 42256220; auto-added,Risk factors for ICU admission in hospitalized children with respiratory syncytial virus infection.,Chunyun Fu; Fengkui Liang; Lishai Mo; Junming Lu; Lujin Tang; Jiangyang Zhao,Human journal article; specific design not indexed as a PubMed publication type. PubMed article type(s): Journal Article,Mixed / policy-relevant populations,RSV prevention product/platform not auto-specified,"RSV prevention, immunization, protection, safety, policy, or implementation signal","To analyze the clinical characteristics of hospitalized children with respiratory syncytial virus (RSV) infection and identify independent risk factors for intensive care unit (ICU) admission. This retrospective study included hospitalized children with polymerase chain reaction (PCR)-confirmed RSV infection between July 2022 and April 2025. Epidemiological, clinical, laboratory, and imaging data were collected. Multivariable logistic regression analysis was employed to determine independent predictors of ICU admission. Of 95,311 children tested for acute respiratory infections, 14,583 (15.3%) …",Automated PubMed inclusion; not manually verified.,"Rule-classified automated evidence signal. Inspect the source record before clinical, policy, or research decisions.",https://pubmed.ncbi.nlm.nih.gov/42256220/,auto-added; PubMed; PMID 42256220; DOI 10.3389/fcimb.2026.1834056; QC 2026-06-qc1,2026-01-01,day,PubMed metadata; RSV-specific MeSH validated; study design derived from PublicationType,2026-06-24,Automated,42256220,10.3389/fcimb.2026.1834056,Journal Article,"Humans; Respiratory Syncytial Virus Infections; Risk Factors; Infant; Retrospective Studies; Male; Female; Child, Preschool; Intensive Care Units; Hospitalization; Respiratory Syncytial Virus, Human; Child; Logistic Models; Respiratory Tract Infections",Human,RSV MeSH and PubMed article-type validated,generic_pubmed_article_type,2026-06-qc1
